ID,Cluster Gruop
1,4
2,4
3,5
4,0
5,3
6,4
7,2
8,3
9,3
10,2
11,0
12,4
13,4
14,1
15,0
16,3
17,2
18,1
19,2
20,0
21,3
22,3
23,2
24,1
25,3
26,3
27,1
28,5
29,1
30,2
31,4
32,0
33,2
34,1
35,0
36,1
37,5
38,4
39,3
40,3
41,4
42,1
43,0
44,0
45,5
46,0
47,3
48,2
49,5
50,1
51,1
52,1
53,4
54,3
55,2
56,2
57,4
58,3
59,3
60,3
61,0
62,5
63,1
64,5
65,0
66,2
67,4
68,3
69,3
70,2
71,2
72,1
73,0
74,3
75,1
76,2
77,4
78,1
79,1
80,0
81,5
82,4
83,5
84,4
85,3
86,3
87,5
88,5
89,3
90,4
91,0
92,3
93,3
94,5
95,2
96,5
97,2
98,3
99,5
100,3
101,2
102,4
103,0
104,4
105,3
106,1
107,5
108,1
109,3
110,4
111,5
112,0
113,5
114,4
115,2
116,0
117,4
118,3
119,3
120,4
121,2
122,4
123,1
124,4
125,4
126,5
127,2
128,4
129,2
130,1
131,3
132,1
133,0
134,2
135,2
136,5
137,5
138,5
139,3
140,0
141,0
142,5
143,4
144,1
145,4
146,4
147,0
148,1
149,2
150,4
151,4
152,4
153,3
154,0
155,3
156,3
157,5
158,1
159,2
160,5
161,5
162,1
163,5
164,4
165,3
166,2
167,1
168,4
169,5
170,0
171,3
172,5
173,0
174,5
175,3
176,0
177,0
178,1
179,1
180,2
181,2
182,3
183,1
184,3
185,3
186,3
187,3
188,5
189,5
190,3
191,1
192,3
193,3
194,3
195,4
196,0
197,3
198,3
199,4
200,0
201,5
202,4
203,1
204,3
205,0
206,1
207,5
208,0
209,5
210,1
211,3
212,0
213,0
214,1
215,3
216,1
217,3
218,3
219,0
220,3
221,5
222,0
223,0
224,1
225,2
226,4
227,1
228,1
229,4
230,3
231,4
232,2
233,5
234,3
235,1
236,3
237,1
238,0
239,0
240,1
241,2
242,5
243,1
244,1
245,1
246,1
247,3
248,2
249,5
250,2
251,0
252,5
253,4
254,0
255,5
256,1
257,1
258,4
259,4
260,2
261,2
262,3
263,1
264,0
265,0
266,3
267,1
268,0
269,0
270,0
271,3
272,1
273,4
274,0
275,2
276,0
277,4
278,4
279,1
280,4
281,1
282,2
283,1
284,4
285,4
286,1
287,3
288,0
289,0
290,0
291,2
292,2
293,3
294,4
295,2
296,4
297,2
298,0
299,5
300,3
301,5
302,5
303,4
304,1
305,5
306,3
307,3
308,1
309,0
310,3
311,5
312,0
313,1
314,2
315,2
316,5
317,2
318,5
319,3
320,0
321,3
322,4
323,0
324,3
325,1
326,2
327,2
328,5
329,2
330,3
331,3
332,0
333,1
334,5
335,1
336,3
337,2
338,1
339,4
340,1
341,0
342,2
343,2
344,1
345,4
346,0
347,4
348,5
349,3
350,3
351,3
352,0
353,0
354,0
355,5
356,5
357,4
358,2
359,3
360,4
361,1
362,1
363,4
364,4
365,3
366,1
367,1
368,1
369,2
370,0
371,4
